id_stand,id_presc,year,Thinning,Debark,t,0,5,10,15,20,25,30,35,40,   45,50,55,60,65,70,75,80,85,90,95,100,>102.5
SSB101         ,SSB101_1       , 2004,    0,    0,    42.0,      0.,      0.,     30.,    250.,    330.,    240.,    170.,    130.,     40.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_1       , 2005,    0,    0,    43.0,      0.,      0.,      0.,    210.,    310.,    260.,    160.,    120.,     60.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_1       , 2006,    0,    0,    44.0,      0.,      0.,      0.,    210.,    300.,    240.,    170.,    120.,     60.,     20.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_1       , 2007,    0,    0,    45.0,      0.,      0.,      0.,    150.,    300.,    240.,    170.,    120.,     60.,     30.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_1       , 2008,    0,    0,    46.0,      0.,      0.,      0.,    140.,    290.,    220.,    170.,    110.,     80.,     20.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_1       , 2009,    0,    0,    47.0,      0.,      0.,      0.,    130.,    270.,    220.,    180.,    110.,     70.,     30.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_1       , 2010,    0,    0,    48.0,      0.,      0.,      0.,     70.,    300.,    210.,    180.,    110.,     70.,     40.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_1       , 2011,    0,    0,    49.0,      0.,      0.,      0.,     50.,    230.,    240.,    160.,    120.,     80.,     40.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_1       , 2012,    0,    0,    50.0,      0.,      0.,      0.,     40.,    220.,    210.,    180.,    110.,     90.,     40.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_1       , 2013,    0,    0,    51.0,      0.,      0.,      0.,     40.,    200.,    210.,    180.,    110.,     70.,     50.,     20.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_1       , 2014,    0,    0,    52.0,      0.,      0.,      0.,     30.,    170.,    200.,    170.,    130.,     70.,     50.,     10.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_1       , 2015,    0,    0,    53.0,      0.,      0.,      0.,     20.,    120.,    210.,    180.,    120.,     70.,     50.,     20.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_1       , 2016,    0,    0,    54.0,      0.,      0.,      0.,     10.,    120.,    210.,    170.,    120.,     80.,     50.,     20.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_1       , 2017,    0,    0,    55.0,      0.,      0.,      0.,     10.,    120.,    210.,    170.,    110.,     80.,     50.,     30.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_1       , 2018,    0,    0,    56.0,      0.,      0.,      0.,      0.,    110.,    210.,    170.,    100.,     90.,     40.,     40.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_1       , 2019,    0,    0,    57.0,      0.,      0.,      0.,      0.,    110.,    190.,    190.,    100.,     70.,     60.,     40.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_1       , 2020,    0,    0,    58.0,      0.,      0.,      0.,      0.,    110.,    170.,    160.,    120.,     80.,     60.,     30.,     10.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_1       , 2021,    0,    0,    59.0,      0.,      0.,      0.,      0.,     80.,    140.,    160.,    120.,     80.,     60.,     30.,     10.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_1       , 2022,    0,    0,    60.0,      0.,      0.,      0.,      0.,     80.,    140.,    160.,    110.,     80.,     50.,     40.,     20.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_1       , 2023,    0,    0,    61.0,      0.,      0.,      0.,      0.,     80.,    130.,    170.,    110.,     80.,     50.,     40.,     20.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_1       , 2024,    0,    0,    62.0,      0.,      0.,      0.,      0.,     60.,    140.,    170.,    100.,     80.,     60.,     40.,     20.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_1       , 2025,    0,    0,    63.0,      0.,      0.,      0.,      0.,     60.,    110.,    170.,    100.,     80.,     60.,     30.,     30.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_1       , 2026,    0,    0,    64.0,      0.,      0.,      0.,      0.,     50.,    110.,    170.,     90.,     90.,     50.,     40.,     30.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_1       , 2027,    0,    0,    65.0,      0.,      0.,      0.,      0.,     40.,    120.,    170.,     90.,     80.,     60.,     30.,     30.,     10.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_1       , 2028,    0,    0,    66.0,      0.,      0.,      0.,      0.,     30.,    110.,    140.,    120.,     80.,     60.,     30.,     30.,     10.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_1       , 2029,    0,    0,    67.0,      0.,      0.,      0.,      0.,     30.,     90.,    150.,    120.,     80.,     60.,     30.,     30.,     10.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_1       , 2030,    0,    0,    68.0,      0.,      0.,      0.,      0.,     30.,     90.,    150.,    120.,     80.,     50.,     40.,     20.,     20.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_1       , 2031,    0,    0,    69.0,      0.,      0.,      0.,      0.,     30.,     90.,    150.,    110.,     80.,     60.,     40.,     20.,     20.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_1       , 2032,    0,    0,    70.0,      0.,      0.,      0.,      0.,     30.,     80.,    140.,    110.,     80.,     40.,     60.,     20.,     20.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_1       , 2032,    0,    0,    70.0,      0.,      0.,      0.,      0.,     30.,     80.,    140.,    110.,     80.,     40.,     60.,     20.,     20.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 1990,    0,    0,    28.0,      0.,    110.,    790.,    700.,    380.,    260.,     50.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 1991,    0,    0,    29.0,      0.,      0.,    660.,    680.,    350.,    270.,     70.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 1992,    0,    0,    30.0,      0.,      0.,    600.,    680.,    340.,    260.,    110.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 1992,    1,    0,    30.0,      0.,      0.,      0.,     90.,    200.,    130.,     50.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 1993,    0,    0,    31.0,      0.,      0.,      0.,     10.,    230.,    160.,     60.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 1994,    0,    0,    32.0,      0.,      0.,      0.,     10.,    220.,    140.,     80.,     20.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 1995,    0,    0,    33.0,      0.,      0.,      0.,      0.,    210.,    130.,    100.,     30.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 1996,    0,    0,    34.0,      0.,      0.,      0.,      0.,    180.,    150.,     90.,     50.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 1997,    0,    0,    35.0,      0.,      0.,      0.,      0.,    160.,    140.,    110.,     50.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 1998,    0,    0,    36.0,      0.,      0.,      0.,      0.,    120.,    160.,    110.,     60.,     20.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 1999,    0,    0,    37.0,      0.,      0.,      0.,      0.,    110.,    160.,    100.,     80.,     20.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2000,    0,    0,    38.0,      0.,      0.,      0.,      0.,    100.,    150.,    120.,     70.,     30.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2001,    0,    0,    39.0,      0.,      0.,      0.,      0.,     90.,    150.,    120.,     70.,     40.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2002,    0,    0,    40.0,      0.,      0.,      0.,      0.,     30.,    210.,    100.,     80.,     40.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2002,    1,    0,    40.0,      0.,      0.,      0.,      0.,     10.,    150.,     60.,     50.,     30.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2003,    0,    0,    41.0,      0.,      0.,      0.,      0.,      0.,    150.,     70.,     50.,     30.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2004,    0,    0,    42.0,      0.,      0.,      0.,      0.,      0.,    130.,     90.,     50.,     20.,     20.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2005,    0,    0,    43.0,      0.,      0.,      0.,      0.,      0.,    130.,     90.,     50.,     20.,     20.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2006,    0,    0,    44.0,      0.,      0.,      0.,      0.,      0.,    120.,     90.,     50.,     30.,     20.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2007,    0,    0,    45.0,      0.,      0.,      0.,      0.,      0.,    120.,     80.,     40.,     40.,     20.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2008,    0,    0,    46.0,      0.,      0.,      0.,      0.,      0.,    110.,     90.,     40.,     30.,     30.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2009,    0,    0,    47.0,      0.,      0.,      0.,      0.,      0.,    110.,     80.,     40.,     40.,     30.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2010,    0,    0,    48.0,      0.,      0.,      0.,      0.,      0.,    110.,     70.,     50.,     40.,     20.,     20.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2011,    0,    0,    49.0,      0.,      0.,      0.,      0.,      0.,    100.,     70.,     50.,     50.,     20.,     20.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2012,    0,    0,    50.0,      0.,      0.,      0.,      0.,      0.,     90.,     70.,     60.,     50.,     20.,     20.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2012,    1,    0,    50.0,      0.,      0.,      0.,      0.,      0.,     70.,     60.,     50.,     20.,     20.,     20.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2013,    0,    0,    51.0,      0.,      0.,      0.,      0.,      0.,     60.,     70.,     50.,     20.,     20.,     10.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2014,    0,    0,    52.0,      0.,      0.,      0.,      0.,      0.,     60.,     70.,     50.,     20.,     20.,     10.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2015,    0,    0,    53.0,      0.,      0.,      0.,      0.,      0.,     50.,     70.,     60.,     20.,     10.,     20.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2016,    0,    0,    54.0,      0.,      0.,      0.,      0.,      0.,     40.,     70.,     60.,     30.,      0.,     20.,     20.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2017,    0,    0,    55.0,      0.,      0.,      0.,      0.,      0.,     40.,     60.,     70.,     30.,      0.,     20.,     20.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2018,    0,    0,    56.0,      0.,      0.,      0.,      0.,      0.,      0.,    100.,     60.,     40.,      0.,     20.,     20.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2019,    0,    0,    57.0,      0.,      0.,      0.,      0.,      0.,      0.,    100.,     60.,     30.,     10.,     20.,     10.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2020,    0,    0,    58.0,      0.,      0.,      0.,      0.,      0.,      0.,     90.,     60.,     40.,     10.,     20.,     10.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2021,    0,    0,    59.0,      0.,      0.,      0.,      0.,      0.,      0.,     90.,     60.,     30.,     20.,     20.,     10.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2022,    0,    0,    60.0,      0.,      0.,      0.,      0.,      0.,      0.,     90.,     50.,     40.,     20.,     20.,     10.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2023,    0,    0,    61.0,      0.,      0.,      0.,      0.,      0.,      0.,     90.,     50.,     40.,     20.,     10.,     10.,     20.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2024,    0,    0,    62.0,      0.,      0.,      0.,      0.,      0.,      0.,     80.,     60.,     40.,     20.,     10.,     10.,     20.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2025,    0,    0,    63.0,      0.,      0.,      0.,      0.,      0.,      0.,     80.,     50.,     50.,     20.,      0.,     20.,     20.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2026,    0,    0,    64.0,      0.,      0.,      0.,      0.,      0.,      0.,     80.,     50.,     50.,     20.,      0.,     20.,     10.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2027,    0,    0,    65.0,      0.,      0.,      0.,      0.,      0.,      0.,     80.,     50.,     50.,     20.,      0.,     20.,     10.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2028,    0,    0,    66.0,      0.,      0.,      0.,      0.,      0.,      0.,     80.,     50.,     40.,     30.,      0.,     20.,     10.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2029,    0,    0,    67.0,      0.,      0.,      0.,      0.,      0.,      0.,     80.,     50.,     40.,     30.,      0.,     20.,     10.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2030,    0,    0,    68.0,      0.,      0.,      0.,      0.,      0.,      0.,     70.,     50.,     50.,     20.,     10.,     20.,     10.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2031,    0,    0,    69.0,      0.,      0.,      0.,      0.,      0.,      0.,     70.,     50.,     40.,     30.,     10.,     20.,      0.,     20.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2032,    0,    0,    70.0,      0.,      0.,      0.,      0.,      0.,      0.,     60.,     60.,     40.,     30.,     10.,     10.,     10.,     10.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_2       , 2032,    0,    0,    70.0,      0.,      0.,      0.,      0.,      0.,      0.,     60.,     60.,     40.,     30.,     10.,     10.,     10.,     10.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_3       , 1990,    0,    0,    28.0,      0.,    110.,    790.,    700.,    380.,    260.,     50.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_3       , 1991,    0,    0,    29.0,      0.,      0.,    680.,    690.,    350.,    270.,     70.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_3       , 1992,    0,    0,    30.0,      0.,      0.,    600.,    700.,    340.,    260.,    110.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_3       , 1992,    1,    0,    30.0,      0.,      0.,     10.,    130.,    140.,    130.,     50.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_3       , 1993,    0,    0,    31.0,      0.,      0.,      0.,     50.,    200.,    120.,     80.,     20.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_3       , 1994,    0,    0,    32.0,      0.,      0.,      0.,     30.,    200.,    120.,    100.,     20.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_3       , 1995,    0,    0,    33.0,      0.,      0.,      0.,     30.,    190.,    110.,    100.,     30.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_3       , 1996,    0,    0,    34.0,      0.,      0.,      0.,     30.,    170.,    120.,     90.,     50.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_3       , 1997,    0,    0,    35.0,      0.,      0.,      0.,     30.,    160.,    110.,    110.,     40.,     20.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_3       , 1997,    1,    0,    35.0,      0.,      0.,      0.,     20.,    130.,     90.,     90.,     30.,     20.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_3       , 1998,    0,    0,    36.0,      0.,      0.,      0.,     20.,    110.,     90.,     90.,     50.,     20.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_3       , 1999,    0,    0,    37.0,      0.,      0.,      0.,     20.,    100.,     90.,     90.,     60.,     10.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_3       , 2000,    0,    0,    38.0,      0.,      0.,      0.,     20.,     90.,     90.,     80.,     70.,     20.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_3       , 2001,    0,    0,    39.0,      0.,      0.,      0.,     10.,    100.,     80.,     90.,     70.,     20.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_3       , 2002,    0,    0,    40.0,      0.,      0.,      0.,     10.,     70.,    110.,     80.,     60.,     40.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_3       , 2002,    1,    0,    40.0,      0.,      0.,      0.,      0.,     50.,    110.,     50.,     50.,     40.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_3       , 2003,    0,    0,    41.0,      0.,      0.,      0.,      0.,     30.,    120.,     60.,     50.,     30.,     20.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_3       , 2004,    0,    0,    42.0,      0.,      0.,      0.,      0.,     20.,    130.,     60.,     50.,     30.,     20.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_3       , 2005,    0,    0,    43.0,      0.,      0.,      0.,      0.,     20.,    120.,     70.,     40.,     40.,     10.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_3       , 2006,    0,    0,    44.0,      0.,      0.,      0.,      0.,     10.,    130.,     70.,     30.,     50.,     10.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_3       , 2007,    0,    0,    45.0,      0.,      0.,      0.,      0.,     10.,    110.,     80.,     40.,     40.,     20.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_3       , 2007,    1,    0,    45.0,      0.,      0.,      0.,      0.,      0.,    100.,     70.,     40.,     30.,     20.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_3       , 2008,    0,    0,    46.0,      0.,      0.,      0.,      0.,      0.,    100.,     60.,     50.,     30.,     20.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_3       , 2009,    0,    0,    47.0,      0.,      0.,      0.,      0.,      0.,    100.,     50.,     50.,     30.,     20.,     20.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_3       , 2010,    0,    0,    48.0,      0.,      0.,      0.,      0.,      0.,    100.,     50.,     40.,     40.,     20.,     20.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
SSB101         ,SSB101_3       , 2011,    0,    0,    49.0,      0.,      0.,      0.,      0.,      0.,    100.,     50.,     40.,     40.,     20.,     10.,     10.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.,      0.
